orig_utt_id,aug_utt_id,spk_id,gender,condition,cos_clean_aug,embedding_drift
BAC009S0160W0271,BAC009S0160W0271_ch8k,S0160,1,channel_8k,0.41223961114883423,0.5877603888511658
BAC009S0160W0404,BAC009S0160W0404_noise10,S0160,1,noise_snr10,0.6659777164459229,0.33402228355407715
BAC009S0160W0404,BAC009S0160W0404_ch8k,S0160,1,channel_8k,0.3733672499656677,0.6266327500343323
BAC009S0160W0155,BAC009S0160W0155_noise10,S0160,1,noise_snr10,0.6651171445846558,0.33488285541534424
BAC009S0160W0155,BAC009S0160W0155_ch8k,S0160,1,channel_8k,0.42904186248779297,0.570958137512207
BAC009S0160W0260,BAC009S0160W0260_noise10,S0160,1,noise_snr10,0.7225909233093262,0.27740907669067383
BAC009S0160W0260,BAC009S0160W0260_ch8k,S0160,1,channel_8k,0.5199080109596252,0.48009198904037476
BAC009S0166W0435,BAC009S0166W0435_noise10,S0166,1,noise_snr10,0.7469261288642883,0.25307387113571167
BAC009S0166W0435,BAC009S0166W0435_ch8k,S0166,1,channel_8k,0.592028021812439,0.40797197818756104
BAC009S0166W0377,BAC009S0166W0377_noise10,S0166,1,noise_snr10,0.7557420134544373,0.24425798654556274
BAC009S0166W0377,BAC009S0166W0377_ch8k,S0166,1,channel_8k,0.5259292721748352,0.4740707278251648
BAC009S0166W0413,BAC009S0166W0413_noise10,S0166,1,noise_snr10,0.7967914342880249,0.2032085657119751
BAC009S0166W0413,BAC009S0166W0413_ch8k,S0166,1,channel_8k,0.6115902662277222,0.38840973377227783
BAC009S0166W0209,BAC009S0166W0209_noise10,S0166,1,noise_snr10,0.7167553901672363,0.28324460983276367
BAC009S0166W0209,BAC009S0166W0209_ch8k,S0166,1,channel_8k,0.5654987692832947,0.4345012307167053
BAC009S0166W0230,BAC009S0166W0230_noise10,S0166,1,noise_snr10,0.8151911497116089,0.1848088502883911
BAC009S0166W0230,BAC009S0166W0230_ch8k,S0166,1,channel_8k,0.6670050621032715,0.3329949378967285
BAC009S0166W0336,BAC009S0166W0336_noise10,S0166,1,noise_snr10,0.7817789316177368,0.21822106838226318
BAC009S0166W0336,BAC009S0166W0336_ch8k,S0166,1,channel_8k,0.5496000051498413,0.4503999948501587
BAC009S0166W0315,BAC009S0166W0315_noise10,S0166,1,noise_snr10,0.72581946849823,0.27418053150177
BAC009S0166W0315,BAC009S0166W0315_ch8k,S0166,1,channel_8k,0.6089410185813904,0.3910589814186096
BAC009S0166W0260,BAC009S0166W0260_noise10,S0166,1,noise_snr10,0.6468586325645447,0.3531413674354553
BAC009S0166W0260,BAC009S0166W0260_ch8k,S0166,1,channel_8k,0.5582970976829529,0.4417029023170471
BAC009S0166W0174,BAC009S0166W0174_noise10,S0166,1,noise_snr10,0.7180825471878052,0.2819174528121948
BAC009S0166W0174,BAC009S0166W0174_ch8k,S0166,1,channel_8k,0.565244197845459,0.434755802154541
BAC009S0166W0466,BAC009S0166W0466_noise10,S0166,1,noise_snr10,0.7263667583465576,0.2736332416534424
BAC009S0166W0466,BAC009S0166W0466_ch8k,S0166,1,channel_8k,0.5565159916877747,0.44348400831222534
BAC009S0166W0318,BAC009S0166W0318_noise10,S0166,1,noise_snr10,0.7816190123558044,0.21838098764419556
BAC009S0166W0318,BAC009S0166W0318_ch8k,S0166,1,channel_8k,0.5785835385322571,0.4214164614677429
BAC009S0166W0323,BAC009S0166W0323_noise10,S0166,1,noise_snr10,0.7804638743400574,0.21953612565994263
BAC009S0166W0323,BAC009S0166W0323_ch8k,S0166,1,channel_8k,0.570315957069397,0.429684042930603
BAC009S0166W0193,BAC009S0166W0193_noise10,S0166,1,noise_snr10,0.8315709829330444,0.16842901706695557
BAC009S0166W0193,BAC009S0166W0193_ch8k,S0166,1,channel_8k,0.6135720610618591,0.38642793893814087
BAC009S0166W0409,BAC009S0166W0409_noise10,S0166,1,noise_snr10,0.6811909079551697,0.3188090920448303
BAC009S0166W0409,BAC009S0166W0409_ch8k,S0166,1,channel_8k,0.38188669085502625,0.6181133091449738
